Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option1 Linked To,Option2 Name,Option2 Value,Option2 Linked To,Option3 Name,Option3 Value,Option3 Linked To,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Unit Price Total Measure,Unit Price Total Measure Unit,Unit Price Base Measure,Unit Price Base Measure Unit,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Status
metal-gold-plated-bracelet,Metal Gold-plated Bracelet,"Metal Gold-plated Bracelet<br><a href=""https://www.flipkart.com/amazheal-metal-gold-plated-bracelet/p/itmd41c24b12673a?pid=BBAGZ8VEFYKZTZ9K&amp;lid=LSTBBAGZ8VEFYKZTZ9K03EUDD&amp;marketplace=FLIPKART&amp;q=bracelet+for+women&amp;store=mcr%2F96v%2Ffbc&amp;srno=s_1_10&amp;otracker=AS_QueryStore_OrganicAutoSuggest_1_7_na_na_na&amp;otracker1=AS_QueryStore_OrganicAutoSuggest_1_7_na_na_na&amp;fm=organic&amp;iid=9cb8c214-a485-4c8f-a620-2d4999ad5f20.BBAGZ8VEFYKZTZ9K.SEARCH&amp;ppt=None&amp;ppn=None&amp;ssid=8xvwyuarwg0000001758291672621&amp;qH=e0a543290f395afd"">View on Flipkart</a>",Amazheal,Apparel & Accessories > Jewelry > Bracelets,Bracelets,Bracelets,True,Title,Default Title,,,,,,,,,0.0,,100,deny,manual,2582.0,8000.0,True,True,,,,,,https://cdn.shopify.com/s/files/1/0721/9304/8766/files/original-imahfsreqf4zm5kv.jpg?v=1758291868,1.0,,False,,,,kg,,,active
stainless-steel-bracelet,Stainless Steel Bracelet,"Stainless Steel Bracelet<br><a href=""https://www.flipkart.com/cerruti-1881-stainless-steel-bracelet/p/itm3a58d7fa5d0d1?pid=BBAH6HGR28HUZUXM&amp;lid=LSTBBAH6HGR28HUZUXMINOIP6&amp;marketplace=FLIPKART&amp;q=bracelet+for+women&amp;store=mcr%2F96v%2Ffbc&amp;srno=s_1_9&amp;otracker=AS_QueryStore_OrganicAutoSuggest_1_7_na_na_na&amp;otracker1=AS_QueryStore_OrganicAutoSuggest_1_7_na_na_na&amp;fm=organic&amp;iid=9cb8c214-a485-4c8f-a620-2d4999ad5f20.BBAH6HGR28HUZUXM.SEARCH&amp;ppt=None&amp;ppn=None&amp;ssid=8xvwyuarwg0000001758291672621&amp;qH=e0a543290f395afd"">View on Flipkart</a>",Cerruti 1881,Apparel & Accessories > Jewelry > Bracelets,Bracelets,Bracelets,True,Title,Default Title,,,,,,,,,0.0,,100,deny,manual,5444.0,8375.0,True,True,,,,,,https://cdn.shopify.com/s/files/1/0721/9304/8766/files/free-3-3-na-1-cijlb2106705-cerruti-1881-original-imah8adzcztgfkyy.jpg?v=1758291867,1.0,,False,,,,kg,,,active
wood-bracelet,Wood Bracelet,"Wood Bracelet<br><a href=""https://www.flipkart.com/rdk-wood-bracelet/p/itmc88e5c706d343?pid=BBAFK5RFZCCCJZGU&amp;lid=LSTBBAFK5RFZCCCJZGUFOZDYS&amp;marketplace=FLIPKART&amp;q=bracelet+for+women&amp;store=mcr%2F96v%2Ffbc&amp;srno=s_1_8&amp;otracker=AS_QueryStore_OrganicAutoSuggest_1_7_na_na_na&amp;otracker1=AS_QueryStore_OrganicAutoSuggest_1_7_na_na_na&amp;fm=organic&amp;iid=9cb8c214-a485-4c8f-a620-2d4999ad5f20.BBAFK5RFZCCCJZGU.SEARCH&amp;ppt=None&amp;ppn=None&amp;ssid=8xvwyuarwg0000001758291672621&amp;qH=e0a543290f395afd"">View on Flipkart</a>",RDK,Apparel & Accessories > Jewelry > Bracelets,Bracelets,Bracelets,True,Title,Default Title,,,,,,,,,0.0,,100,deny,manual,3734.0,5998.0,True,True,,,,,,https://cdn.shopify.com/s/files/1/0721/9304/8766/files/4-1-original-beige-sandalwood-bracelet-rdk-original-imafgxeyyzebhrgz.jpg?v=1758291866,1.0,,False,,,,kg,,,active
stone-crystal-green-jade-beads-agate-crystal-jade,"Stone, Crystal, Green Jade Beads, Agate, Crystal, Jade,...","Stone, Crystal, Green Jade Beads, Agate, Crystal, Jade,...<br><a href=""https://www.flipkart.com/plus-value-stone-crystal-green-jade-beads-agate-jade-quartz-bracelet/p/itm9f5e172602c71?pid=BBAGF9Z3W4V8BTEJ&amp;lid=LSTBBAGF9Z3W4V8BTEJC3QA0D&amp;marketplace=FLIPKART&amp;q=bracelet+for+women&amp;store=mcr%2F96v%2Ffbc&amp;srno=s_1_7&amp;otracker=AS_QueryStore_OrganicAutoSuggest_1_7_na_na_na&amp;otracker1=AS_QueryStore_OrganicAutoSuggest_1_7_na_na_na&amp;fm=organic&amp;iid=9cb8c214-a485-4c8f-a620-2d4999ad5f20.BBAGF9Z3W4V8BTEJ.SEARCH&amp;ppt=None&amp;ppn=None&amp;ssid=8xvwyuarwg0000001758291672621&amp;qH=e0a543290f395afd"">View on Flipkart</a>",Plus Value,Apparel & Accessories > Jewelry > Bracelets,Bracelets,Bracelets,True,Title,Default Title,,,,,,,,,0.0,,100,deny,manual,2339.0,5100.0,True,True,,,,,,https://cdn.shopify.com/s/files/1/0721/9304/8766/files/free-3-5-na-1-green-jade-pi-yao-bracelet-12mm-beads-plusvalue-original-imahfbgrs5sbh7ya.jpg?v=1758291864,1.0,,False,,,,kg,,,active
brass-cubic-zirconia-gold-plated-bracelet,Brass Cubic Zirconia Gold-plated Bracelet,"Brass Cubic Zirconia Gold-plated Bracelet<br><a href=""https://www.flipkart.com/priyaasi-brass-cubic-zirconia-gold-plated-bracelet/p/itm3026c7567c3f2?pid=BBAFFGF8FFH3CAGF&amp;lid=LSTBBAFFGF8FFH3CAGFZI26HF&amp;marketplace=FLIPKART&amp;q=bracelet+for+women&amp;store=mcr%2F96v%2Ffbc&amp;srno=s_1_6&amp;otracker=AS_QueryStore_OrganicAutoSuggest_1_7_na_na_na&amp;otracker1=AS_QueryStore_OrganicAutoSuggest_1_7_na_na_na&amp;fm=organic&amp;iid=9cb8c214-a485-4c8f-a620-2d4999ad5f20.BBAFFGF8FFH3CAGF.SEARCH&amp;ppt=None&amp;ppn=None&amp;ssid=8xvwyuarwg0000001758291672621&amp;qH=e0a543290f395afd"">View on Flipkart</a>",Priyaasi,Apparel & Accessories > Jewelry > Bracelets,Bracelets,Bracelets,True,Title,Default Title,,,,,,,,,0.0,,100,deny,manual,2019.0,5000.0,True,True,,,,,,https://cdn.shopify.com/s/files/1/0721/9304/8766/files/2-6-1-br-pr-20053-g-priyaasi-original-imafqet6yhhk3fjp.jpg?v=1758291863,1.0,,False,,,,kg,,,active
stone-beads-crystal-quartz-bracelet,"Stone Beads, Crystal, Quartz Bracelet","Stone Beads, Crystal, Quartz Bracelet<br><a href=""https://www.flipkart.com/gemtre-stone-beads-crystal-quartz-bracelet/p/itm71e5db7d31a89?pid=BBAFVYGYQWEDPZHD&amp;lid=LSTBBAFVYGYQWEDPZHDCS8BU7&amp;marketplace=FLIPKART&amp;q=bracelet+for+women&amp;store=mcr%2F96v%2Ffbc&amp;srno=s_1_5&amp;otracker=AS_QueryStore_OrganicAutoSuggest_1_7_na_na_na&amp;otracker1=AS_QueryStore_OrganicAutoSuggest_1_7_na_na_na&amp;fm=organic&amp;iid=9cb8c214-a485-4c8f-a620-2d4999ad5f20.BBAFVYGYQWEDPZHD.SEARCH&amp;ppt=None&amp;ppn=None&amp;ssid=8xvwyuarwg0000001758291672621&amp;qH=e0a543290f395afd"">View on Flipkart</a>",gemtre,Apparel & Accessories > Jewelry > Bracelets,Bracelets,Bracelets,True,Title,Default Title,,,,,,,,,0.0,,100,deny,manual,4266.0,5199.0,True,True,,,,,,https://cdn.shopify.com/s/files/1/0721/9304/8766/files/free-2-8-1-golden-rutilated-quartz-bracelet-gemtre-original-imafvyzfcrhpcghu.jpg?v=1758291862,1.0,,False,,,,kg,,,active
copper-copper-bracelet,Copper Copper Bracelet,"Copper Copper Bracelet<br><a href=""https://www.flipkart.com/aarogyam-energy-jewellery-copper-bracelet/p/itm57e5c753a0922?pid=BBAF7P5YJNFGEWSK&amp;lid=LSTBBAF7P5YJNFGEWSKUKBKXP&amp;marketplace=FLIPKART&amp;q=bracelet+for+women&amp;store=mcr%2F96v%2Ffbc&amp;srno=s_1_4&amp;otracker=AS_QueryStore_OrganicAutoSuggest_1_7_na_na_na&amp;otracker1=AS_QueryStore_OrganicAutoSuggest_1_7_na_na_na&amp;fm=organic&amp;iid=9cb8c214-a485-4c8f-a620-2d4999ad5f20.BBAF7P5YJNFGEWSK.SEARCH&amp;ppt=None&amp;ppn=None&amp;ssid=8xvwyuarwg0000001758291672621&amp;qH=e0a543290f395afd"">View on Flipkart</a>",Aarogyam Energy Jewellery,Apparel & Accessories > Jewelry > Bracelets,Bracelets,Bracelets,True,Title,Default Title,,,,,,,,,0.0,,100,deny,manual,2498.0,3499.0,True,True,,,,,,https://cdn.shopify.com/s/files/1/0721/9304/8766/files/4-1-ulo-p18-01302-aarogyam-energy-jewellery-original-imaf7p4rw8hrcgqs.jpg?v=1758291860,1.0,,False,,,,kg,,,active
stainless-steel-gold-plated-bracelet,Stainless Steel Gold-plated Bracelet,"Stainless Steel Gold-plated Bracelet<br><a href=""https://www.flipkart.com/palmonas-stainless-steel-gold-plated-bracelet/p/itmd85d6cb1f1ddd?pid=BBAH2TT4VHEHXB6V&amp;lid=LSTBBAH2TT4VHEHXB6VWYAJRV&amp;marketplace=FLIPKART&amp;q=bracelet+for+women&amp;store=mcr%2F96v%2Ffbc&amp;srno=s_1_3&amp;otracker=AS_QueryStore_OrganicAutoSuggest_1_7_na_na_na&amp;otracker1=AS_QueryStore_OrganicAutoSuggest_1_7_na_na_na&amp;fm=organic&amp;iid=9cb8c214-a485-4c8f-a620-2d4999ad5f20.BBAH2TT4VHEHXB6V.SEARCH&amp;ppt=None&amp;ppn=None&amp;ssid=8xvwyuarwg0000001758291672621&amp;qH=e0a543290f395afd"">View on Flipkart</a>",Palmonas,Apparel & Accessories > Jewelry > Bracelets,Bracelets,Bracelets,True,Title,Default Title,,,,,,,,,0.0,,100,deny,manual,3424.0,5227.0,True,True,,,,,,https://cdn.shopify.com/s/files/1/0721/9304/8766/files/free-7-na-1-br092-palmonas-original-imah2usewc4eetq4.jpg?v=1758291859,1.0,,False,,,,kg,,,active
brass-brass-bracelet,Brass Brass Bracelet,"Brass Brass Bracelet<br><a href=""https://www.flipkart.com/yellow-chimes-brass-bracelet/p/itmb0b981afb0cd7?pid=BBAEZQK32GCFCYZH&amp;lid=LSTBBAEZQK32GCFCYZHCPXSLZ&amp;marketplace=FLIPKART&amp;q=bracelet+for+women&amp;store=mcr%2F96v%2Ffbc&amp;srno=s_1_2&amp;otracker=AS_QueryStore_OrganicAutoSuggest_1_7_na_na_na&amp;otracker1=AS_QueryStore_OrganicAutoSuggest_1_7_na_na_na&amp;fm=organic&amp;iid=9cb8c214-a485-4c8f-a620-2d4999ad5f20.BBAEZQK32GCFCYZH.SEARCH&amp;ppt=None&amp;ppn=None&amp;ssid=8xvwyuarwg0000001758291672621&amp;qH=e0a543290f395afd"">View on Flipkart</a>",YELLOW CHIMES,Apparel & Accessories > Jewelry > Bracelets,Bracelets,Bracelets,True,Title,Default Title,,,,,,,,,0.0,,100,deny,manual,3995.0,,True,True,,,,,,https://cdn.shopify.com/s/files/1/0721/9304/8766/files/original-imagsd6w4rfjzuaz.jpg?v=1758291859,1.0,,False,,,,kg,,,active
stone-lapis-lazuli-bracelet,Stone Lapis Lazuli Bracelet,"Stone Lapis Lazuli Bracelet<br><a href=""https://www.flipkart.com/aanya-jewels-stone-lapis-lazuli-bracelet/p/itma41dc67286b5b?pid=BBAGNGEZZJQHHGSE&amp;lid=LSTBBAGNGEZZJQHHGSEVF0NUQ&amp;marketplace=FLIPKART&amp;q=bracelet+for+women&amp;store=mcr%2F96v%2Ffbc&amp;srno=s_1_1&amp;otracker=AS_QueryStore_OrganicAutoSuggest_1_7_na_na_na&amp;otracker1=AS_QueryStore_OrganicAutoSuggest_1_7_na_na_na&amp;fm=organic&amp;iid=9cb8c214-a485-4c8f-a620-2d4999ad5f20.BBAGNGEZZJQHHGSE.SEARCH&amp;ppt=None&amp;ppn=None&amp;ssid=8xvwyuarwg0000001758291672621&amp;qH=e0a543290f395afd"">View on Flipkart</a>",Aanya Jewels,Apparel & Accessories > Jewelry > Bracelets,Bracelets,Bracelets,True,Title,Default Title,,,,,,,,,0.0,,100,deny,manual,2317.0,2499.0,True,True,,,,,,https://cdn.shopify.com/s/files/1/0721/9304/8766/files/free-1-lapis-lazuli-8mm-stone-valentine-gift-reiki-fengshui-original-imahc7zguvdf94dh.jpg?v=1758291858,1.0,,False,,,,kg,,,active
power-graphic-pants-women-solid-grey-track-pants,Power Graphic Pants Women Solid Grey Track Pants,"Power Graphic Pants Women Solid Grey Track Pants<br><a href=""https://www.flipkart.com/puma-power-graphic-pants-solid-women-grey-track/p/itme4c362099910d?pid=TKPGG67JYQGS96HF&amp;lid=LSTTKPGG67JYQGS96HFB3CESR&amp;marketplace=FLIPKART&amp;q=track+pants&amp;store=clo%2Fvua%2Fjlk%2Fhp8&amp;srno=s_1_40&amp;otracker=AS_QueryStore_OrganicAutoSuggest_2_5_na_na_na&amp;otracker1=AS_QueryStore_OrganicAutoSuggest_2_5_na_na_na&amp;fm=organic&amp;iid=fe89a981-33ea-4c80-aafd-97c6a24209ec.TKPGG67JYQGS96HF.SEARCH&amp;ppt=None&amp;ppn=None&amp;ssid=h4cjwz6ikw0000001756903787920&amp;qH=e846ec9937033bbd"">View on Flipkart</a>",PUMA,,Trackpants,Trackpants,True,Title,Default Title,,,,,,,,,0.0,,100,deny,manual,1624.0,2499.0,True,True,,,,,,https://cdn.shopify.com/s/files/1/0721/9304/8766/files/original-imahy2jrtn8dgqw2.jpg?v=1758290582,1.0,,False,,,,kg,,,active
